idx,l_deg,b_deg,theta_rad,phi_rad,cand_pix,unmasked_fraction
171,37.265625,37.168900,0.922076648454,0.650407854064,9626,0.993488
172,11.666667,-70.165027,2.795407061886,0.203621746066,47643,0.978353
173,198.984375,-40.228185,2.272910602400,3.472932503773,40461,0.956115
174,26.413043,55.873350,0.595622397579,0.460994574168,4153,0.996798
175,174.750000,-44.993880,2.356087678668,3.049962867860,41948,0.951077
176,61.779661,-45.783967,2.369877298393,1.078258495512,42112,0.985193
177,50.625000,29.313199,1.059184490578,0.883572933822,12452,0.996216
178,68.750000,63.448284,0.463414871834,1.199913860746,2547,0.996541
179,88.593750,20.105510,1.219888983204,1.546252634189,16063,0.954965
180,225.000000,23.969482,1.152449940351,3.926990816987,14624,0.994823
181,150.468750,41.014500,0.854958266570,2.626175108860,8427,0.978193
182,71.015625,27.279613,1.094677265883,1.239456476612,13234,0.986282
183,244.125000,-60.434439,2.625576266234,4.260785036431,45980,0.992765
184,158.203125,28.630990,1.071091286036,2.761165418194,12784,0.991778
185,167.625000,60.434439,0.516016387355,2.925608158655,3194,0.996806
186,181.184211,-61.943837,2.651920234168,3.162261026311,46264,0.995858
187,63.750000,81.219822,0.153243009496,1.112647398146,272,0.978664
188,216.562500,36.423574,0.935085041394,3.779728661350,10010,0.981275
189,312.890625,25.944480,1.117979732050,5.460971604873,13918,0.952628
190,347.343750,-36.423574,2.206507612196,6.062292073724,39287,0.992110
191,352.968750,-25.282603,2.012060993375,6.160466844149,35195,0.966260
192,298.125000,-37.921651,2.232653990772,5.203262832508,39764,0.963499
193,182.812500,23.969482,1.152449940351,3.190680038802,14594,0.997182
194,256.428571,-42.609807,2.314477752194,4.475522867614,41267,0.985941
195,236.250000,-36.423574,2.206507612196,4.123340357837,39208,0.983608
196,151.000000,-56.637198,2.559301917460,2.635447170511,45087,0.984842
197,200.294118,52.029727,0.662706274462,3.495791825318,5213,0.993267
198,104.062500,36.423574,0.935085041394,1.816233252857,9930,0.982027
199,333.984375,-19.471221,1.910633236249,5.829126993965,32877,0.950517
200,274.218750,37.921651,0.908938662818,4.786020058203,9539,0.992323
201,202.500000,22.669610,1.175136994390,3.534291735289,15120,0.981016
202,90.000000,-18.839405,1.899605965260,1.570796326795,32448,0.956285
203,297.421875,14.477512,1.318116071653,5.190990986205,18515,0.951374
204,102.717391,55.873350,0.595622397579,1.792756677320,4192,0.996524
205,216.176471,52.029727,0.662706274462,3.772991177105,5222,0.991140
206,68.906250,-36.423574,2.206507612196,1.202640937702,39089,0.970092
207,118.125000,39.450895,0.882248321263,2.061670178918,8916,0.996430
208,274.218750,-23.969482,1.989142713238,4.786020058203,34627,0.966736
209,343.828125,32.797168,0.998377754702,6.000932842209,11380,0.976618
210,67.500000,17.582776,1.263918993807,1.178097245096,17072,0.960696
211,50.833333,49.702390,0.703325969484,0.887209036430,5754,0.992975
212,120.234375,-34.228866,2.168202743440,2.098485717828,38357,0.995916
213,122.647059,-52.029727,2.478886379127,2.140594994358,43917,0.989054
214,18.482143,48.141208,0.730573744897,0.322574245681,6171,0.992686
215,349.000000,56.637198,0.582290736130,6.091199089460,4134,0.997826
216,283.571429,-42.609807,2.314477752194,4.949255093155,41286,0.959846
217,107.068966,-68.679192,2.769474354549,1.868705974980,47446,0.992782
218,223.593750,-23.969482,1.989142713238,3.902447124381,34591,0.958438
219,68.203125,-15.713861,1.845054940284,1.190369091399,31152,0.955069
220,189.000000,79.018714,0.191659597695,3.298672286269,451,0.995782
221,61.229508,44.201530,0.799334096475,1.068656517410,7361,0.973801
222,239.062500,12.635625,1.350263065874,4.172427743049,19242,0.959690
223,154.565217,73.126882,0.294491465670,2.697671952539,1051,0.993991
224,118.125000,-23.969482,1.989142713238,2.061670178918,34516,0.991184
225,217.968750,-66.443536,2.730454791267,3.804272353956,47117,0.996694
226,22.500000,-37.921651,2.232653990772,0.392699081699,39568,0.998252
227,307.372881,-45.783967,2.369877298393,5.364668811003,42273,0.968871
